label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
BAD,0.0,0.0,0.0,-0.03645693,0.31130454,-0.021798918,-0.2184253,0.5822264,-0.027945686,-0.42045274,0.67545843,-0.046864197,-0.55907404,0.64785016,-0.051030193,-0.52866054,0.51425034,0.0044892454,-0.7719738,0.63565433,-0.05679264,-0.63065755,0.5876526,-0.06307806,-0.4849049,0.52820706,-0.047712006,-0.6059701,0.30741546,-0.019595083,-0.8345778,0.4325165,-0.098857895,-0.6523476,0.39950517,-0.11017695,-0.4916328,0.3431121,-0.086852215,-0.6489515,0.09225549,-0.053256676,-0.85467005,0.2048698,-0.14102049,-0.65976316,0.19372785,-0.117965825,-0.4930639,0.15168636,-0.06936266,-0.6525951,-0.1411948,-0.08750566,-0.8521912,-0.07744435,-0.15456292,-0.7167386,-0.045079987,-0.12830381,-0.5655945,-0.050391342,-0.08309918
BAD,0.0,0.0,0.0,-0.04829348,0.34934726,-0.02193764,-0.21808322,0.6378199,-0.030911036,-0.4165799,0.76360434,-0.05165314,-0.55675095,0.7734412,-0.057043675,-0.5225088,0.49070412,-0.0076824105,-0.76359457,0.6456959,-0.0732557,-0.6182204,0.5944636,-0.08687927,-0.4848278,0.5191561,-0.076506615,-0.59331906,0.29273483,-0.030989036,-0.8342926,0.44884902,-0.10888757,-0.6484841,0.41331065,-0.11495258,-0.4969993,0.33660552,-0.08832529,-0.6299854,0.08137267,-0.06291054,-0.85594296,0.22019371,-0.14343181,-0.6621334,0.21691999,-0.114803895,-0.50396264,0.16292389,-0.06348568,-0.62872726,-0.15177527,-0.09608433,-0.8604382,-0.07107645,-0.15419032,-0.7352268,-0.024234615,-0.124855235,-0.5874136,-0.035953145,-0.07881457
BAD,0.0,0.0,0.0,-0.038443707,0.29340965,-0.037049275,-0.18339702,0.5803411,-0.052450925,-0.32426926,0.7686003,-0.07973735,-0.41614345,0.90929896,-0.093057394,-0.47600424,0.45277742,0.022278238,-0.6784186,0.5612011,-0.048176285,-0.5545624,0.5186135,-0.08075278,-0.4344946,0.46531662,-0.08439165,-0.53341484,0.2893402,0.0024303172,-0.73392105,0.40181303,-0.08228303,-0.57368433,0.35882887,-0.10995447,-0.44260427,0.30130303,-0.098106936,-0.56629264,0.113709845,-0.030540654,-0.75364166,0.21207543,-0.111536674,-0.5831134,0.18785018,-0.09459005,-0.44886792,0.1465602,-0.05246934,-0.5667365,-0.080096915,-0.067360535,-0.7536688,-0.017566964,-0.12070767,-0.6386961,0.0049110036,-0.09461251,-0.518262,-0.0034503175,-0.05302553
BAD,0.0,0.0,0.0,-0.04907317,0.31602713,-0.018383592,-0.19873662,0.6014786,-0.032307647,-0.34382427,0.78793746,-0.053838983,-0.43791363,0.89901704,-0.062309556,-0.48211303,0.4665131,-0.02766231,-0.70773613,0.61108166,-0.074020185,-0.5890606,0.5489399,-0.07517971,-0.4639584,0.4851794,-0.05946917,-0.55443674,0.29413697,-0.046829302,-0.7883562,0.43015125,-0.108514,-0.6380829,0.3863913,-0.114289045,-0.4954575,0.32643855,-0.0923079,-0.5960788,0.11247372,-0.06886809,-0.8021417,0.23422562,-0.12319567,-0.6481345,0.21327712,-0.096513,-0.5148488,0.16909735,-0.056025036,-0.5995797,-0.08066902,-0.09107197,-0.8016664,0.003526509,-0.12769894,-0.6958975,0.025744723,-0.09528676,-0.57936025,0.009732768,-0.0528437
BAD,0.0,0.0,0.0,-0.037774283,0.28348267,-0.048873223,-0.16875428,0.5711492,-0.07883659,-0.28132668,0.7766,-0.117387384,-0.34932303,0.93700236,-0.14326584,-0.44799256,0.4396026,-0.010911052,-0.62885267,0.56972295,-0.08765736,-0.5056569,0.49532962,-0.13230652,-0.391809,0.42330652,-0.14578344,-0.50083596,0.2911324,-0.02492838,-0.6838019,0.39925072,-0.1081092,-0.532928,0.3343134,-0.13730364,-0.40533528,0.27504268,-0.13084237,-0.52921313,0.12836115,-0.051207013,-0.7021768,0.22007069,-0.12945728,-0.55118555,0.17681116,-0.11900928,-0.42676902,0.12817067,-0.08474831,-0.53394985,-0.04650105,-0.082121894,-0.7040039,0.010963231,-0.13524082,-0.6062558,0.01882525,-0.11610967,-0.5014736,0.006177521,-0.08190731
BAD,0.0,0.0,0.0,-0.039265208,0.28978613,-0.048866283,-0.1489177,0.5684778,-0.08255218,-0.25160506,0.7775383,-0.12482914,-0.31838137,0.94796276,-0.15432684,-0.43634862,0.43488207,-0.008172673,-0.60884213,0.56721944,-0.0793696,-0.48908743,0.50439024,-0.121870816,-0.38397092,0.43071282,-0.13635084,-0.48860595,0.28471473,-0.020325214,-0.6677015,0.40180466,-0.099609956,-0.5273099,0.35016447,-0.12978458,-0.4035395,0.2876193,-0.12568237,-0.51446295,0.12565534,-0.044011746,-0.6678742,0.22176307,-0.11631636,-0.5317373,0.1889186,-0.108551495,-0.4142517,0.13930659,-0.077909864,-0.51805294,-0.043637767,-0.07212678,-0.67578787,0.023509886,-0.11760836,-0.5871708,0.037677124,-0.09958898,-0.48714378,0.024913326,-0.06804207
BAD,0.0,0.0,0.0,-0.026557643,0.28767172,-0.056412306,-0.13100113,0.5757457,-0.091910414,-0.22698565,0.7843185,-0.13655578,-0.29509148,0.9554691,-0.16902578,-0.43902764,0.46971145,0.00568682,-0.5911659,0.5795602,-0.07804308,-0.47439852,0.514224,-0.13619262,-0.36297175,0.437412,-0.1582445,-0.49905524,0.31701788,-0.005860608,-0.6623008,0.40698746,-0.096882954,-0.5181167,0.35039076,-0.13800772,-0.384736,0.2836794,-0.13731737,-0.5326365,0.155619,-0.03252094,-0.6750077,0.22579834,-0.11765621,-0.5347935,0.19487028,-0.119367115,-0.40726697,0.14480694,-0.09041852,-0.541974,-0.013858275,-0.064678766,-0.68387717,0.039725084,-0.11979562,-0.5876972,0.04496308,-0.107067496,-0.48102385,0.023994094,-0.07575144
BAD,0.0,0.0,0.0,0.014813955,0.26466098,-0.09700022,-0.06603655,0.56804824,-0.14324181,-0.15581417,0.80164504,-0.18574558,-0.22160187,0.9751373,-0.2118682,-0.3243284,0.47612897,-0.04224899,-0.4842019,0.54547507,-0.128207,-0.3862715,0.4465976,-0.17562214,-0.2786206,0.37668365,-0.18859051,-0.4015562,0.33457887,-0.026551407,-0.54752016,0.38762927,-0.11945062,-0.41447607,0.2890509,-0.1519413,-0.29715773,0.2281049,-0.14664227,-0.4541722,0.20686482,-0.027687263,-0.57798105,0.24497294,-0.1196661,-0.45507845,0.17041248,-0.11841981,-0.34635168,0.12122027,-0.0865996,-0.48709932,0.093947366,-0.03600939,-0.5963789,0.13933207,-0.09935158,-0.51099414,0.084408276,-0.08916729,-0.42737314,0.040731013,-0.05887343
BAD,0.0,0.0,0.0,0.008866383,0.2635735,-0.089446574,-0.08123525,0.5605215,-0.13659284,-0.17856055,0.7922534,-0.18311413,-0.24221916,0.9702216,-0.21476524,-0.35987678,0.5012148,-0.030723097,-0.511211,0.56007475,-0.12128172,-0.39686432,0.44812948,-0.17803082,-0.29219815,0.37473944,-0.20247772,-0.43115574,0.34917042,-0.026695568,-0.58248156,0.40108937,-0.122672305,-0.4324693,0.28929082,-0.15827802,-0.31973502,0.24462134,-0.15895306,-0.47666538,0.19370706,-0.039778795,-0.6194284,0.24467777,-0.13569498,-0.47506443,0.16236535,-0.122990415,-0.36259985,0.13373715,-0.087004036,-0.4996275,0.033008043,-0.06005114,-0.6374961,0.09191342,-0.12443436,-0.5386668,0.049568996,-0.10331929,-0.4486954,0.035846826,-0.068427846
BAD,0.0,0.0,0.0,0.00713669,0.26097026,-0.08325667,-0.08175593,0.5572086,-0.12757,-0.17066151,0.7910751,-0.17281555,-0.22929178,0.97335774,-0.20292914,-0.34702376,0.499046,-0.03151577,-0.49140787,0.5645862,-0.11555573,-0.38785848,0.4453323,-0.16201603,-0.28912166,0.37256908,-0.17931521,-0.4203446,0.3475189,-0.028828515,-0.5610117,0.40489483,-0.12141764,-0.41597864,0.28658682,-0.15343034,-0.30443245,0.24699448,-0.15282078,-0.47027078,0.19588621,-0.041577045,-0.603434,0.25289634,-0.13250652,-0.4619813,0.16217709,-0.117886536,-0.3498456,0.13507237,-0.08254163,-0.49768826,0.044560418,-0.061140288,-0.63409114,0.09210107,-0.12052047,-0.5351622,0.048249148,-0.09911935,-0.44152254,0.04207249,-0.065782286
BAD,0.0,0.0,0.0,-0.0104858205,0.26767856,-0.079093084,-0.10202868,0.5531315,-0.12532628,-0.18848914,0.7841643,-0.17476742,-0.24265613,0.9701124,-0.21060093,-0.3717046,0.47848248,-0.026494512,-0.50854164,0.5365703,-0.113110274,-0.41137815,0.42243436,-0.16447066,-0.31761065,0.34859362,-0.18606354,-0.438529,0.31947777,-0.02792482,-0.5690416,0.37604582,-0.12219383,-0.4262554,0.26772156,-0.15769085,-0.31911302,0.22967456,-0.16179243,-0.48268706,0.15863597,-0.04506884,-0.61910856,0.21734263,-0.13675538,-0.47834566,0.14061706,-0.122796796,-0.36594,0.11523834,-0.08929443,-0.504239,-0.004541031,-0.06903788,-0.64780647,0.04807236,-0.12740926,-0.55048746,0.016223622,-0.10531303,-0.45714357,0.011577474,-0.07270804
BAD,0.0,0.0,0.0,0.0016279025,0.26460946,-0.09459255,-0.07200263,0.5479597,-0.15115173,-0.15713398,0.7798018,-0.21077341,-0.21917133,0.9756864,-0.2585587,-0.32530868,0.4144553,-0.055566948,-0.4729467,0.43303797,-0.15206921,-0.3579139,0.34235126,-0.20820539,-0.25345623,0.29888457,-0.23263538,-0.3948346,0.23728222,-0.054374263,-0.53236884,0.26917785,-0.15876783,-0.37916866,0.18479002,-0.19852394,-0.26508236,0.15787275,-0.20786014,-0.44891384,0.07265715,-0.0693558,-0.5960107,0.108484454,-0.17561573,-0.43919876,0.051394936,-0.16423596,-0.3146826,0.039554786,-0.13119985,-0.48588535,-0.08192063,-0.09176739,-0.645948,-0.038137067,-0.15548399,-0.5403137,-0.063472226,-0.13050315,-0.43787464,-0.0676528,-0.09689275
BAD,0.0,0.0,0.0,-0.004212712,0.26225454,-0.10928477,-0.082068294,0.5332225,-0.17713489,-0.18108478,0.7698686,-0.2442899,-0.2566217,0.9665119,-0.2974293,-0.3612163,0.41691747,-0.06927125,-0.49498707,0.40981475,-0.17618422,-0.3700057,0.31387633,-0.24008231,-0.26160952,0.26592225,-0.2664009,-0.42554924,0.23018256,-0.06052244,-0.5585235,0.24141708,-0.16785692,-0.39849338,0.16296154,-0.20820834,-0.28147408,0.14046514,-0.21673861,-0.47125006,0.06039487,-0.0692132,-0.60991985,0.070320405,-0.17674914,-0.45244104,0.019875897,-0.16283847,-0.33050948,0.011606939,-0.12693073,-0.49784106,-0.093547724,-0.08644297,-0.65651023,-0.075811125,-0.14879818,-0.5465178,-0.100978516,-0.1209025,-0.44310513,-0.1014272,-0.08397279
