label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
GOOD,0.0,0.0,0.0,-0.026853172,-0.1898247,-0.016898392,-0.1111292,-0.37562466,-0.049647674,-0.20795374,-0.47859943,-0.077951185,-0.29514763,-0.50253105,-0.1114733,-0.09066703,-0.49250656,-0.11084541,-0.1410829,-0.7083867,-0.17786282,-0.16304682,-0.86355764,-0.22323044,-0.16825458,-0.9857436,-0.25143126,-0.12081243,-0.41502577,-0.12827757,-0.29098558,-0.483431,-0.18532425,-0.42180973,-0.4520287,-0.21262226,-0.50699997,-0.3959531,-0.2337441,-0.1587197,-0.29077005,-0.1432346,-0.3375106,-0.3404777,-0.1879844,-0.4636423,-0.3209963,-0.19373685,-0.5489659,-0.284434,-0.19721457,-0.19618788,-0.15160505,-0.1568068,-0.34554973,-0.1775898,-0.19719113,-0.43979743,-0.16910659,-0.20156142,-0.510727,-0.15235604,-0.20003814
GOOD,0.0,0.0,0.0,-0.06976955,-0.268434,-0.0554653,-0.14863236,-0.56416553,-0.13186091,-0.16037199,-0.7938797,-0.198853,-0.124997266,-0.9921571,-0.27023125,-0.21240798,-0.53666383,-0.24362509,-0.5316385,-0.4199894,-0.35327852,-0.512188,-0.3602317,-0.38425314,-0.44984147,-0.3732945,-0.39543417,-0.20703614,-0.31672332,-0.27133927,-0.5534186,-0.21900767,-0.37172416,-0.49429184,-0.17964198,-0.36068317,-0.4054907,-0.19600247,-0.3553235,-0.21527295,-0.09000781,-0.29870418,-0.53216404,-0.027934983,-0.4018851,-0.46652815,0.0032662912,-0.3538313,-0.37187383,-0.015727209,-0.31483668,-0.22683501,0.11803194,-0.32591042,-0.46857128,0.14917238,-0.40446615,-0.40983626,0.16827106,-0.37455407,-0.31815642,0.15746598,-0.3445338
GOOD,0.0,0.0,0.0,-0.04826812,-0.26464525,-0.008820247,-0.15689294,-0.56960505,-0.0633512,-0.19186407,-0.7980723,-0.1146253,-0.17036249,-0.9853814,-0.1703182,-0.20085189,-0.5857562,-0.20640372,-0.54402846,-0.54691935,-0.28477314,-0.4786323,-0.4903123,-0.30269733,-0.37495202,-0.47479394,-0.30523443,-0.21107893,-0.39362815,-0.24086067,-0.5687165,-0.37661576,-0.3029321,-0.48447844,-0.33130988,-0.28080273,-0.36894786,-0.31200606,-0.2702333,-0.23402001,-0.18468186,-0.26722932,-0.5527302,-0.19307846,-0.3193983,-0.46280977,-0.15895694,-0.26201484,-0.34884,-0.14013614,-0.22553025,-0.26596987,0.029523179,-0.29095316,-0.50493777,-0.012703802,-0.34127256,-0.42264184,0.0058852187,-0.30104104,-0.3244337,0.03421415,-0.2669519
GOOD,0.0,0.0,0.0,-0.06172883,-0.26190364,0.0048614736,-0.18386546,-0.5674012,-0.040334743,-0.22379217,-0.7948793,-0.086198576,-0.19168971,-0.98145556,-0.1345298,-0.22212012,-0.61797273,-0.1784372,-0.56539863,-0.5824204,-0.2596672,-0.494665,-0.5164809,-0.27947834,-0.39159676,-0.5015844,-0.28285512,-0.23059812,-0.43232733,-0.2196341,-0.5868901,-0.4060819,-0.28296578,-0.49849024,-0.36255062,-0.25955468,-0.39062837,-0.3536229,-0.2486156,-0.25223112,-0.22636625,-0.2536689,-0.57543176,-0.23782037,-0.3065588,-0.48029557,-0.197174,-0.24638785,-0.37118977,-0.18027464,-0.20844461,-0.28355482,-0.0150134275,-0.28457704,-0.5264381,-0.057525523,-0.3339582,-0.44129872,-0.03598539,-0.29526892,-0.34559706,-0.01664636,-0.26206136
GOOD,0.0,0.0,0.0,-0.053270284,-0.27103826,0.021175858,-0.15384357,-0.5822152,-0.018418172,-0.18413547,-0.8047034,-0.064224504,-0.15381457,-0.98809975,-0.112892665,-0.20458445,-0.6622581,-0.14627053,-0.53434104,-0.6307945,-0.22352389,-0.46933898,-0.5455446,-0.24181071,-0.36881915,-0.5341128,-0.24449548,-0.21145311,-0.4895382,-0.19523013,-0.5549789,-0.45869783,-0.25570774,-0.4702456,-0.39457172,-0.23176159,-0.3666767,-0.38987094,-0.21936561,-0.23103641,-0.29328707,-0.2374965,-0.5486554,-0.29835033,-0.28434348,-0.4564703,-0.23955603,-0.22394311,-0.34910494,-0.22742952,-0.18639676,-0.25533167,-0.089572795,-0.27590016,-0.50513566,-0.12694177,-0.31210673,-0.4294992,-0.08910428,-0.26910502,-0.33450004,-0.067452095,-0.23468933
GOOD,0.0,0.0,0.0,-0.039989054,-0.26346508,0.022474889,-0.14195701,-0.5728312,-0.0096377395,-0.17285664,-0.8064008,-0.047650363,-0.13822788,-0.9904005,-0.08621997,-0.17884934,-0.6830621,-0.12918155,-0.49738792,-0.64747643,-0.20383844,-0.43448249,-0.53909594,-0.21710224,-0.33764625,-0.52908874,-0.21751016,-0.18655871,-0.5243969,-0.17812644,-0.5221257,-0.482243,-0.24140194,-0.44147307,-0.4001501,-0.214298,-0.34186256,-0.40136427,-0.19820867,-0.20931995,-0.3388709,-0.22229855,-0.5164889,-0.32658926,-0.27534086,-0.43068743,-0.2529025,-0.21516535,-0.32862017,-0.24792103,-0.17650431,-0.2367727,-0.14389656,-0.26255167,-0.47754648,-0.16755758,-0.30571878,-0.40321144,-0.110736944,-0.26805902,-0.30879974,-0.09317113,-0.23607522
GOOD,0.0,0.0,0.0,-0.044496298,-0.26967165,0.02102772,-0.13476507,-0.57511085,-0.020518411,-0.16300048,-0.80940175,-0.06526007,-0.116282314,-0.9932162,-0.110415034,-0.16799632,-0.6809037,-0.17117928,-0.48708627,-0.6411243,-0.23864634,-0.43368083,-0.533076,-0.23128797,-0.34157282,-0.5289537,-0.21858603,-0.17618294,-0.5281523,-0.22106902,-0.5147337,-0.48667407,-0.28141415,-0.4401327,-0.40144688,-0.23695008,-0.34573963,-0.40350813,-0.21192123,-0.19685072,-0.34706545,-0.26329762,-0.50705576,-0.33460173,-0.31435338,-0.42601725,-0.25988975,-0.2478184,-0.32743654,-0.24841337,-0.2085837,-0.2216123,-0.15842795,-0.30070117,-0.46243653,-0.17782022,-0.34629506,-0.39661422,-0.12993577,-0.31383094,-0.3066805,-0.11854428,-0.2875291
GOOD,0.0,0.0,0.0,-0.075485714,-0.29006442,0.10267782,-0.15249643,-0.5785142,0.05099201,-0.16871068,-0.8031648,-0.016321497,-0.11380425,-0.99350315,-0.09065514,-0.1794234,-0.68296355,-0.22859426,-0.474656,-0.64898133,-0.26190057,-0.42302233,-0.5223838,-0.202191,-0.33769205,-0.515868,-0.16035254,-0.1768042,-0.5356951,-0.32562056,-0.50054026,-0.5030356,-0.34822908,-0.42703182,-0.39854544,-0.2438493,-0.33165163,-0.3891279,-0.18940397,-0.19321562,-0.3494579,-0.3992977,-0.489146,-0.33485758,-0.39654782,-0.40737408,-0.24584438,-0.28232595,-0.3044767,-0.2232693,-0.23397578,-0.21186885,-0.16308789,-0.46138537,-0.44150394,-0.17452694,-0.46091923,-0.38075858,-0.12860945,-0.3983705,-0.2914916,-0.10690624,-0.366877
GOOD,0.0,0.0,0.0,-0.05351362,-0.27060577,0.021164078,-0.13872014,-0.5742799,-0.021335095,-0.16257238,-0.807094,-0.064837426,-0.11755908,-0.9930659,-0.108472094,-0.16951936,-0.6667734,-0.18056718,-0.47438177,-0.6266562,-0.2381776,-0.41684732,-0.51860076,-0.22276872,-0.32779005,-0.5172553,-0.20697056,-0.16887395,-0.51643485,-0.22838503,-0.4975161,-0.47556952,-0.28158572,-0.42340004,-0.3921778,-0.23424542,-0.33340293,-0.38936073,-0.20953165,-0.18463473,-0.3392469,-0.26678756,-0.48152667,-0.31678647,-0.30909547,-0.4025198,-0.24560115,-0.24347351,-0.30772027,-0.23426583,-0.2078301,-0.20718801,-0.1574251,-0.30002692,-0.44049063,-0.16723102,-0.33679506,-0.3759844,-0.12410839,-0.30389518,-0.28962865,-0.11574977,-0.2801481
GOOD,0.0,0.0,0.0,-0.059907082,-0.2750119,0.030674966,-0.14480922,-0.5736205,-0.014497836,-0.16948612,-0.8051632,-0.06253605,-0.12281306,-0.99242985,-0.11167191,-0.1766936,-0.6585452,-0.1878178,-0.47932434,-0.6201516,-0.23998898,-0.42135274,-0.5140035,-0.21719359,-0.33554742,-0.5134953,-0.19703004,-0.17824858,-0.5085493,-0.24066535,-0.50093824,-0.46430448,-0.28890193,-0.4253779,-0.3829251,-0.23415142,-0.33643174,-0.37844792,-0.20611179,-0.19710465,-0.33308944,-0.2820439,-0.48513308,-0.30903652,-0.3155589,-0.40540686,-0.23967351,-0.24417627,-0.31204805,-0.22561257,-0.20831971,-0.22297129,-0.15532154,-0.31785533,-0.44516057,-0.16228522,-0.34698224,-0.37931538,-0.11960263,-0.3110201,-0.29567742,-0.10902889,-0.28753048
GOOD,0.0,0.0,0.0,-0.070668854,-0.27800006,0.061410952,-0.15318593,-0.5732518,0.012889457,-0.17540559,-0.8036013,-0.0449918,-0.1292253,-0.99161524,-0.10658179,-0.18011802,-0.6583191,-0.19419292,-0.47667384,-0.62134904,-0.23272751,-0.41967654,-0.5070439,-0.19057405,-0.33565795,-0.50199586,-0.15874748,-0.1804143,-0.51037294,-0.26477003,-0.49583638,-0.46359196,-0.29779658,-0.42122585,-0.374743,-0.22247739,-0.33224916,-0.36982504,-0.18384911,-0.20065865,-0.33438525,-0.3190627,-0.4771822,-0.30344272,-0.32985264,-0.40103537,-0.23061608,-0.24113303,-0.3076084,-0.21705514,-0.20257117,-0.22883663,-0.16056082,-0.36582056,-0.44417214,-0.16317394,-0.37579873,-0.38188595,-0.115901545,-0.32801402,-0.2983814,-0.10081641,-0.30206442
GOOD,0.0,0.0,0.0,-0.10184903,-0.3151708,0.14569308,-0.16394508,-0.58868384,0.08424107,-0.18042287,-0.8036442,-0.0015243344,-0.12287948,-0.99242157,-0.09620231,-0.19868083,-0.6753997,-0.2296209,-0.46396738,-0.646263,-0.22800036,-0.41729504,-0.51578486,-0.12489303,-0.33829835,-0.49676794,-0.054061193,-0.19818576,-0.5172454,-0.34404603,-0.48109552,-0.4862788,-0.33256346,-0.40248016,-0.37643698,-0.18685177,-0.3110978,-0.37508166,-0.1064454,-0.21596846,-0.33768302,-0.4277099,-0.457558,-0.31643665,-0.37903506,-0.37813464,-0.23252176,-0.23692533,-0.2859467,-0.2124329,-0.18178138,-0.23952475,-0.17078881,-0.49763578,-0.42693916,-0.16564852,-0.44947436,-0.36222747,-0.13090684,-0.3657398,-0.27865565,-0.106658794,-0.32898593
GOOD,0.0,0.0,0.0,-0.09023789,-0.30069143,0.14098944,-0.16885068,-0.57576466,0.07446129,-0.17519964,-0.80635005,-0.013770392,-0.10755883,-0.9941987,-0.10778665,-0.1949793,-0.6576112,-0.26007262,-0.4635362,-0.6260299,-0.2962062,-0.40870962,-0.5041271,-0.21342863,-0.32426003,-0.48828858,-0.14810206,-0.18643749,-0.4924062,-0.37081426,-0.4824448,-0.45720592,-0.38276252,-0.39320523,-0.35438216,-0.22615731,-0.29559153,-0.35765758,-0.13077939,-0.2031446,-0.30643576,-0.45459273,-0.4566709,-0.28994432,-0.43681446,-0.37151462,-0.20907797,-0.28405252,-0.26847732,-0.18117303,-0.20867532,-0.2279073,-0.1435604,-0.5234521,-0.42573643,-0.14096296,-0.4954638,-0.3617863,-0.106098495,-0.40976596,-0.27245384,-0.07619611,-0.36409438
GOOD,0.0,0.0,0.0,-0.09423511,-0.2917823,0.119052,-0.17349377,-0.57641983,0.04793522,-0.18664996,-0.80375594,-0.04310795,-0.12473205,-0.9921905,-0.14327066,-0.19919714,-0.66232127,-0.25031206,-0.48388433,-0.6154873,-0.28834412,-0.42510822,-0.49306607,-0.22225507,-0.3365811,-0.48288333,-0.17161185,-0.1921742,-0.50768113,-0.3525228,-0.49895662,-0.4579769,-0.36354595,-0.41519868,-0.3541811,-0.23222937,-0.318766,-0.35286912,-0.16017391,-0.20865114,-0.32001778,-0.42936984,-0.48104933,-0.29053277,-0.4128719,-0.3973038,-0.20726499,-0.2834179,-0.29165995,-0.18202803,-0.22912039,-0.23332682,-0.14749587,-0.4926262,-0.44299012,-0.14417037,-0.47431847,-0.37519935,-0.09457275,-0.40020713,-0.28177005,-0.0660237,-0.36486644
GOOD,0.0,0.0,0.0,-0.05650762,-0.26274824,0.0010000716,-0.16350102,-0.56698906,-0.034347977,-0.19525753,-0.7947003,-0.07167534,-0.16018291,-0.98708737,-0.10940554,-0.20102039,-0.6313602,-0.11335344,-0.496432,-0.57825375,-0.18977222,-0.43199596,-0.4891538,-0.21711746,-0.33615616,-0.49564254,-0.22749223,-0.20217237,-0.46793103,-0.14925405,-0.51560205,-0.40122503,-0.21041113,-0.43459168,-0.34536725,-0.19370426,-0.3392421,-0.35819045,-0.18503317,-0.21525685,-0.28324446,-0.18450025,-0.49576154,-0.25111145,-0.2439803,-0.41564974,-0.20363808,-0.19812322,-0.3217417,-0.20680729,-0.1652286,-0.23388432,-0.09761515,-0.21729577,-0.45354715,-0.10331679,-0.2628045,-0.37880892,-0.07189937,-0.2332412,-0.28834224,-0.06854218,-0.20519188
