label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
HELLO,0.0,0.0,0.0,-0.1613858,-0.10236741,-0.003750304,-0.31206113,-0.28049523,-0.0017829697,-0.4290487,-0.36868542,-0.013600621,-0.53532326,-0.39917067,-0.025310213,-0.2140695,-0.58933496,0.08002678,-0.24078594,-0.7946815,0.051944252,-0.29806796,-0.87447995,0.010443209,-0.36443678,-0.9053124,-0.021713562,-0.15386966,-0.6107493,0.046045415,-0.19098176,-0.8308447,0.016868487,-0.26847976,-0.9125296,-0.023980998,-0.35383886,-0.93530643,-0.053693492,-0.08963443,-0.6062977,0.0005173726,-0.13938233,-0.8254675,-0.027498597,-0.21749958,-0.91006356,-0.04941395,-0.3019064,-0.93981326,-0.06390384,-0.025376532,-0.5762261,-0.049670238,-0.07358774,-0.75781095,-0.07195971,-0.13688463,-0.8527392,-0.08217167,-0.2051227,-0.9107003,-0.08969578
HELLO,0.0,0.0,0.0,-0.16001119,-0.08028445,4.5483328e-05,-0.31588697,-0.26210365,0.0004944803,-0.4383997,-0.35010362,-0.015850421,-0.54511267,-0.37039128,-0.031258084,-0.21385369,-0.5756837,0.0891663,-0.2558365,-0.7840691,0.06023292,-0.31648242,-0.8630141,0.019882407,-0.38282132,-0.8980634,-0.009260063,-0.1564659,-0.60018873,0.051752184,-0.20707153,-0.84188133,0.015196016,-0.2855832,-0.9170688,-0.028194053,-0.37007514,-0.92022,-0.052630946,-0.09213411,-0.60313046,0.0020531812,-0.14921118,-0.84194267,-0.02861893,-0.23993668,-0.9248958,-0.056515943,-0.33391827,-0.94260204,-0.06983738,-0.026746577,-0.58539087,-0.052025698,-0.09693348,-0.77750367,-0.07169452,-0.16782527,-0.87979865,-0.08496618,-0.24145055,-0.94192445,-0.09239287
HELLO,0.0,0.0,0.0,-0.16029437,-0.08011497,-0.0020163187,-0.31583446,-0.2557436,-0.004474531,-0.43896118,-0.338697,-0.023404296,-0.5499786,-0.35865432,-0.041742988,-0.21154648,-0.58791786,0.08669964,-0.25297916,-0.80693823,0.05368796,-0.31655893,-0.88625705,0.008466106,-0.39132056,-0.91435206,-0.02293777,-0.15147443,-0.6067962,0.050162222,-0.20169199,-0.8499214,0.014548436,-0.27981132,-0.9268838,-0.031053277,-0.36763975,-0.9299683,-0.058602866,-0.08860689,-0.6078649,0.0010400637,-0.14455992,-0.8484458,-0.02841195,-0.23289436,-0.9292418,-0.056170136,-0.32632318,-0.94235355,-0.07044777,-0.026550671,-0.5902936,-0.05273189,-0.09639782,-0.7862207,-0.070545405,-0.1666606,-0.8802744,-0.08089863,-0.23993091,-0.927986,-0.086722285
HELLO,0.0,0.0,0.0,-0.15903002,-0.07944275,-0.0042030294,-0.31006405,-0.24895084,-0.0061389045,-0.4383577,-0.33306724,-0.024882428,-0.55445164,-0.351016,-0.042746693,-0.21674329,-0.56317276,0.09613718,-0.26234105,-0.7691119,0.06974685,-0.3252878,-0.8569016,0.028230527,-0.39864427,-0.9026251,-0.003196424,-0.16353449,-0.59088236,0.061387274,-0.2167974,-0.82048905,0.028816406,-0.29256436,-0.90245545,-0.017084772,-0.37829924,-0.91972405,-0.04573223,-0.10444363,-0.6004255,0.0137125645,-0.16487676,-0.82708293,-0.0152908005,-0.25172925,-0.9140302,-0.04586828,-0.3452428,-0.9385134,-0.062171668,-0.04262836,-0.59306,-0.038945906,-0.108995855,-0.7850858,-0.05703575,-0.17900841,-0.88454896,-0.07004876,-0.2542215,-0.9403643,-0.078199446
HELLO,0.0,0.0,0.0,-0.15733096,-0.06905429,-0.0098239845,-0.31427684,-0.24314211,-0.011783866,-0.44056785,-0.3293429,-0.027910136,-0.55434346,-0.34267384,-0.043602854,-0.2219885,-0.5541342,0.07969677,-0.2745828,-0.75298685,0.055439766,-0.3334076,-0.84336853,0.017139664,-0.39829743,-0.8973633,-0.012969286,-0.16476275,-0.58451056,0.04884997,-0.22592005,-0.8046116,0.020032285,-0.29988125,-0.8926466,-0.02118795,-0.38254422,-0.922742,-0.04797149,-0.10029608,-0.59319323,0.005884522,-0.16987634,-0.8123942,-0.02056193,-0.25352576,-0.9021575,-0.047054727,-0.3431566,-0.9392782,-0.062112145,-0.03333689,-0.582634,-0.042355143,-0.10500308,-0.76861024,-0.06046295,-0.17245843,-0.86886847,-0.071611635,-0.24367459,-0.9340472,-0.07881031
HELLO,0.0,0.0,0.0,-0.15939853,-0.067150176,-0.0061779465,-0.31764105,-0.24117403,-0.0048140544,-0.44499314,-0.32786527,-0.018366564,-0.55847967,-0.34450087,-0.031275574,-0.22298405,-0.5531589,0.08840828,-0.2771927,-0.75167996,0.068095535,-0.3367055,-0.8415668,0.032021374,-0.4035775,-0.89446616,0.003230777,-0.1664748,-0.5835562,0.056815505,-0.22986881,-0.79903805,0.03265024,-0.30355352,-0.888305,-0.007067991,-0.38708502,-0.9198076,-0.0334027,-0.10243877,-0.59334046,0.013121553,-0.17485583,-0.8084989,-0.010494784,-0.25770578,-0.8989486,-0.03614835,-0.34823012,-0.93740904,-0.05080387,-0.036369447,-0.58487517,-0.035637505,-0.1095084,-0.7710115,-0.052890044,-0.17787051,-0.87227225,-0.06376054,-0.25095326,-0.9380566,-0.07049955
HELLO,0.0,0.0,0.0,-0.15875317,-0.065211065,-0.010207108,-0.314406,-0.23939556,-0.011954797,-0.43925032,-0.32564494,-0.027648874,-0.55191106,-0.3469641,-0.042646427,-0.22128761,-0.55284417,0.07939728,-0.273308,-0.755109,0.055310216,-0.33334845,-0.845786,0.017383825,-0.40032965,-0.897257,-0.012140691,-0.16359884,-0.5818583,0.04919206,-0.22447477,-0.8037823,0.020754974,-0.3001528,-0.8923329,-0.021220952,-0.38470802,-0.9198154,-0.048487615,-0.099165976,-0.5907307,0.0070060305,-0.16762432,-0.81207496,-0.018530838,-0.25270006,-0.9032858,-0.046345603,-0.34398782,-0.9389741,-0.06260319,-0.03330318,-0.5796953,-0.040338308,-0.10364319,-0.76542115,-0.058058955,-0.16914661,-0.86586463,-0.06990517,-0.23830107,-0.928921,-0.07754702
HELLO,0.0,0.0,0.0,-0.15994474,-0.05831411,-0.006663446,-0.31865516,-0.23223814,-0.005078172,-0.4450068,-0.31719628,-0.018378314,-0.5587501,-0.33795303,-0.031120747,-0.2312829,-0.5534549,0.08872619,-0.28430307,-0.75057405,0.06980296,-0.34310737,-0.8405729,0.0346877,-0.40948424,-0.89301175,0.006359191,-0.17367932,-0.58397263,0.056811523,-0.23654531,-0.8010945,0.03364048,-0.3121027,-0.8886033,-0.0055067698,-0.39753336,-0.91758776,-0.03149496,-0.10909475,-0.5921259,0.0126183145,-0.17860858,-0.8113913,-0.011408575,-0.26398832,-0.89988816,-0.0383683,-0.3562632,-0.93436396,-0.0539067,-0.044458777,-0.5803903,-0.036599312,-0.11924001,-0.76830393,-0.055389006,-0.18961908,-0.8677435,-0.06790203,-0.26343277,-0.9302657,-0.07569791
HELLO,0.0,0.0,0.0,-0.15695481,-0.062032122,-0.0066548204,-0.31467274,-0.23565143,-0.004796958,-0.4420883,-0.31981736,-0.017671606,-0.55639863,-0.33920196,-0.0301314,-0.22884949,-0.5538758,0.088611886,-0.2833029,-0.75041425,0.069492675,-0.34264007,-0.84035385,0.033835858,-0.4089327,-0.89342505,0.0047417907,-0.17273097,-0.5850683,0.057037942,-0.23539992,-0.8022131,0.032305416,-0.31039274,-0.88941133,-0.008938683,-0.3954728,-0.9173557,-0.036337916,-0.108714275,-0.5937703,0.013464564,-0.1780219,-0.8135774,-0.01095236,-0.26123154,-0.90255994,-0.039264467,-0.35239488,-0.93585145,-0.055931427,-0.042854745,-0.58156276,-0.03506158,-0.11287414,-0.7704479,-0.053633038,-0.18024163,-0.8710369,-0.06674376,-0.25260767,-0.93306303,-0.0753015
HELLO,0.0,0.0,0.0,-0.16252676,-0.05856259,-0.005708514,-0.32289794,-0.2280338,-0.0035418912,-0.4521987,-0.31183028,-0.016639307,-0.5681408,-0.32855695,-0.028908236,-0.23883256,-0.548666,0.093279146,-0.295596,-0.7461204,0.074342765,-0.35775602,-0.8328196,0.038393557,-0.42610586,-0.88208383,0.009546707,-0.18421698,-0.58250034,0.061352465,-0.25035238,-0.80004394,0.036785856,-0.32718414,-0.88318264,-0.0042389873,-0.4118994,-0.9065953,-0.03088362,-0.12120586,-0.5948055,0.017035121,-0.19425552,-0.8123915,-0.006678852,-0.2800392,-0.89755946,-0.03445619,-0.37217572,-0.9281623,-0.050309353,-0.055247176,-0.587404,-0.03236945,-0.12980203,-0.77520823,-0.050093226,-0.20125213,-0.8747546,-0.06296166,-0.2769216,-0.9378575,-0.07113977
