label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
HELP,0.0,0.0,0.0,-0.1328678,-0.11056362,-0.021030648,-0.2194569,-0.26272613,-0.054596003,-0.26474154,-0.4048765,-0.08616219,-0.291688,-0.5101186,-0.12477492,-0.18356487,-0.32441598,-0.12710841,-0.262191,-0.55773133,-0.19830365,-0.29781976,-0.7196722,-0.23784626,-0.31974065,-0.8501936,-0.26308012,-0.083696224,-0.35829365,-0.15694308,-0.15085375,-0.62811244,-0.22346742,-0.19482052,-0.8200955,-0.26260906,-0.22971244,-0.9732586,-0.28830844,0.02954002,-0.35421547,-0.18412162,-0.02410749,-0.6106791,-0.25194314,-0.067745544,-0.7966686,-0.2964935,-0.11001797,-0.9489883,-0.3255564,0.1490649,-0.3229815,-0.20778862,0.15563956,-0.47632217,-0.27919328,0.13353014,-0.60318744,-0.31373173,0.10223439,-0.7159699,-0.3336633
HELP,0.0,0.0,0.0,-0.11546221,-0.14766707,-0.08681678,-0.1763215,-0.33868283,-0.15194477,-0.20114037,-0.5127064,-0.20121211,-0.2231839,-0.6276255,-0.25644577,-0.13675609,-0.37911958,-0.22717121,-0.21455404,-0.59559137,-0.33947915,-0.2598487,-0.7537926,-0.40775663,-0.29715437,-0.89982826,-0.45149618,-0.042141322,-0.37824038,-0.23770495,-0.07182613,-0.61710685,-0.34733257,-0.11376524,-0.8162144,-0.4038842,-0.15531433,-0.98786515,-0.44132212,0.052274764,-0.34199905,-0.24937682,0.08284343,-0.5366327,-0.3507589,0.08014989,-0.70374376,-0.38828716,0.07170523,-0.8549883,-0.4092975,0.14172077,-0.2719341,-0.26481563,0.1836292,-0.396262,-0.350884,0.18160872,-0.5004959,-0.3763071,0.17171954,-0.5876383,-0.39029223
HELP,0.0,0.0,0.0,-0.11550947,-0.06738137,-0.100488484,-0.20851433,-0.19217515,-0.17621648,-0.26569387,-0.32598215,-0.23826711,-0.3013457,-0.42991877,-0.30350155,-0.19035023,-0.2812172,-0.21680008,-0.27507627,-0.5297982,-0.32563266,-0.31834123,-0.70737606,-0.39136615,-0.3509001,-0.86005706,-0.43220252,-0.08878699,-0.3319674,-0.21864714,-0.15371552,-0.59379345,-0.32628444,-0.2054718,-0.7986133,-0.38841295,-0.24988368,-0.9682759,-0.42653918,0.015489898,-0.35482663,-0.22271168,-0.03163084,-0.5915572,-0.32110152,-0.078392744,-0.77658784,-0.36685023,-0.12148922,-0.924977,-0.3900132,0.1223816,-0.35796702,-0.23117048,0.11012071,-0.5322005,-0.3118874,0.0804155,-0.6664486,-0.33955586,0.043976683,-0.77087814,-0.35165069
HELP,0.0,0.0,0.0,-0.1094336,-0.032011677,-0.10750639,-0.19942887,-0.11478162,-0.1968097,-0.22898623,-0.19646645,-0.271698,-0.22924311,-0.25360215,-0.35318118,-0.23303655,-0.2825512,-0.22398138,-0.3306475,-0.5087464,-0.33085603,-0.3769504,-0.6675656,-0.3985656,-0.40550935,-0.8109596,-0.44408524,-0.123998754,-0.34329972,-0.22965878,-0.20872438,-0.5983275,-0.33069593,-0.26726547,-0.7862992,-0.3938543,-0.31574592,-0.94884384,-0.43649918,-0.009314073,-0.35194886,-0.23912787,-0.07260814,-0.59772694,-0.33325824,-0.121814504,-0.7690228,-0.38468897,-0.1689675,-0.9148046,-0.41645628,0.108925566,-0.3308407,-0.25334486,0.08856904,-0.4932988,-0.33874562,0.056104433,-0.62188846,-0.37454712,0.01938003,-0.72756,-0.39521688
HELP,0.0,0.0,0.0,-0.14662859,-0.06329748,-0.06700822,-0.25971532,-0.21166317,-0.12946121,-0.31413606,-0.3667571,-0.17733784,-0.32477188,-0.48948935,-0.23352176,-0.20696002,-0.25306776,-0.22110583,-0.30189666,-0.5079879,-0.31108317,-0.34800422,-0.68356055,-0.3560726,-0.37983322,-0.8340509,-0.38426068,-0.09364756,-0.302439,-0.23220998,-0.17689173,-0.5879007,-0.32112917,-0.23417374,-0.7900595,-0.36619356,-0.28078586,-0.9597705,-0.39678434,0.028010132,-0.31428757,-0.2394356,-0.044216253,-0.5884982,-0.3265595,-0.09246071,-0.7818248,-0.36905187,-0.13752536,-0.9456154,-0.39419022,0.14690545,-0.30743906,-0.24510121,0.11712394,-0.5007801,-0.3274188,0.08288858,-0.642246,-0.35919067,0.0444714,-0.76176244,-0.37662077
HELP,0.0,0.0,0.0,-0.09540073,-0.09476077,-0.076317385,-0.15754849,-0.21590926,-0.14070335,-0.20001192,-0.29844004,-0.1955351,-0.24443865,-0.33670574,-0.25951496,-0.1468174,-0.39795202,-0.1737808,-0.19521652,-0.61564827,-0.26001045,-0.2172682,-0.7692131,-0.31765416,-0.22984625,-0.89884937,-0.35852835,-0.03684162,-0.41520545,-0.19191332,-0.06967355,-0.6722839,-0.27178785,-0.097891465,-0.84977037,-0.3256927,-0.12810013,-0.99176127,-0.36384958,0.06831857,-0.36549467,-0.2128443,0.057564687,-0.59407824,-0.29295316,0.041006565,-0.7585742,-0.34112206,0.017815484,-0.897764,-0.374878,0.16316856,-0.26826826,-0.23625904,0.1862248,-0.38031033,-0.31378952,0.18784526,-0.47734955,-0.34511247,0.17654406,-0.5593844,-0.36566687
HELP,0.0,0.0,0.0,-0.09890623,-0.07632814,-0.08824442,-0.1567609,-0.18600513,-0.15669562,-0.19107692,-0.2566227,-0.21365786,-0.23099001,-0.270552,-0.27769133,-0.1341118,-0.3904035,-0.16453585,-0.17626423,-0.59964424,-0.24910808,-0.19650997,-0.7522381,-0.30897507,-0.20966572,-0.88252777,-0.35059333,-0.018744761,-0.41980663,-0.17039588,-0.047238618,-0.6603157,-0.24599199,-0.0825758,-0.83960736,-0.30089056,-0.122293495,-0.99249405,-0.3400126,0.08783487,-0.39018583,-0.18060806,0.07871014,-0.6114827,-0.25327435,0.044919148,-0.7858369,-0.3010373,0.0065045273,-0.9351202,-0.334074,0.18565318,-0.31414706,-0.19524765,0.2041471,-0.45400855,-0.26299754,0.19029018,-0.5801947,-0.2934337,0.16106097,-0.68871754,-0.31337708
HELP,0.0,0.0,0.0,-0.08579743,-0.024737468,-0.12783632,-0.09441115,-0.11484039,-0.21046335,0.008299008,-0.20551269,-0.27588472,0.104227856,-0.25876775,-0.34171233,-0.15620475,-0.36038122,-0.17988777,-0.20070826,-0.5786978,-0.26456645,-0.2169399,-0.73441744,-0.32317165,-0.22433236,-0.86438686,-0.36429912,-0.054107044,-0.42589143,-0.16242166,-0.09247071,-0.6676985,-0.23687972,-0.1206933,-0.84064066,-0.2888371,-0.14955556,-0.98875326,-0.3259333,0.04655754,-0.43382466,-0.15341517,0.014292933,-0.6573684,-0.21742857,-0.015001012,-0.8151375,-0.2598953,-0.04579916,-0.9496106,-0.28942683,0.14551434,-0.40252784,-0.15406998,0.14603256,-0.55179167,-0.20659469,0.12694933,-0.66892844,-0.23346636,0.09848087,-0.76852393,-0.25185558
HELP,0.0,0.0,0.0,-0.07615022,-0.04073343,-0.13268302,-0.0762176,-0.1287161,-0.22211017,0.02438976,-0.20721076,-0.29295173,0.0999611,-0.2638403,-0.36808163,-0.12962331,-0.39139807,-0.19783267,-0.1725103,-0.6049357,-0.2915157,-0.18847193,-0.7561508,-0.3594597,-0.20087764,-0.8894217,-0.40978053,-0.021780958,-0.43400922,-0.18765114,-0.051562976,-0.67157954,-0.27138555,-0.07913281,-0.83967054,-0.33585462,-0.11789445,-0.9930262,-0.38369057,0.07891113,-0.40585852,-0.1858729,0.07228469,-0.6171691,-0.26515397,0.05097669,-0.7743357,-0.32254243,0.015920442,-0.9264859,-0.3654238,0.17002898,-0.3303783,-0.19262856,0.1957336,-0.42450115,-0.26802891,0.18473645,-0.5106409,-0.3068063,0.15647289,-0.5932731,-0.33474943
HELP,0.0,0.0,0.0,-0.0949443,-0.0984954,-0.08279583,-0.12989841,-0.22068465,-0.14209864,-0.1258085,-0.32186002,-0.19165552,-0.14279929,-0.3932319,-0.24649411,-0.118124045,-0.3926016,-0.15475665,-0.1576099,-0.61149734,-0.24162531,-0.1744593,-0.7636773,-0.30009598,-0.18572794,-0.89482015,-0.3416996,-0.013792755,-0.40804356,-0.16493946,-0.04148895,-0.65656465,-0.24760014,-0.07112001,-0.837436,-0.30541348,-0.10429205,-0.9945467,-0.3449133,0.08367089,-0.36439335,-0.18036458,0.07932331,-0.5956167,-0.26492578,0.05256026,-0.7682972,-0.32272762,0.018185457,-0.92263955,-0.3611899,0.17977668,-0.2792489,-0.19909991,0.20327647,-0.38358253,-0.28592876,0.18463327,-0.49487582,-0.33251536,0.15081802,-0.6024809,-0.36177823
