label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
I_LOVE_YOU,0.0,0.0,0.0,0.28802466,-0.08598452,0.020871159,0.5427204,-0.20156287,-0.023384314,0.73648983,-0.24354123,-0.08511067,0.8910459,-0.21352036,-0.15626262,0.5294302,-0.6206965,-0.12448283,0.8086166,-0.4802474,-0.25948435,0.93582165,-0.2813324,-0.3496444,0.99595076,-0.08990066,-0.40457767,0.40892982,-0.6097254,-0.207395,0.72511417,-0.4462519,-0.33774585,0.8808683,-0.23906031,-0.39940965,0.966848,-0.04645606,-0.43916258,0.27667192,-0.503024,-0.29030925,0.57451963,-0.3903386,-0.41295904,0.74429595,-0.21613047,-0.4523226,0.86296487,-0.056100406,-0.47295287,0.15283006,-0.33266827,-0.36916158,0.360911,-0.2659285,-0.46471617,0.50736403,-0.18345901,-0.49076805,0.6303847,-0.09861811,-0.50509727
I_LOVE_YOU,0.0,0.0,0.0,0.28997266,-0.08184032,0.044454977,0.5197326,-0.20114845,0.0057680765,0.6972695,-0.25785682,-0.053708345,0.8573944,-0.24487749,-0.1264973,0.49760166,-0.6128801,-0.0968385,0.77350473,-0.48584196,-0.2174245,0.9134243,-0.31749222,-0.30115438,0.98810554,-0.15377706,-0.35353532,0.38920316,-0.6012265,-0.18340111,0.7048135,-0.44452578,-0.29700884,0.870173,-0.26957726,-0.35338196,0.96486473,-0.11046294,-0.39337417,0.27199638,-0.5026905,-0.2672279,0.57273984,-0.39707056,-0.37484637,0.7497843,-0.24556193,-0.40867224,0.8673169,-0.10958734,-0.42858893,0.16131711,-0.34867647,-0.344634,0.37191814,-0.3015926,-0.43055663,0.5179155,-0.22792259,-0.4518706,0.6342776,-0.14917624,-0.4634845
I_LOVE_YOU,0.0,0.0,0.0,0.30133832,-0.055248003,0.026090953,0.5152432,-0.2045225,0.0060431813,0.6623404,-0.31894812,-0.029514685,0.799217,-0.35449177,-0.07254244,0.5337587,-0.6299581,-0.0255374,0.77366227,-0.4506763,-0.10807289,0.90878725,-0.29413167,-0.17914884,0.98926765,-0.14611477,-0.22686377,0.4460121,-0.6314325,-0.087025456,0.7210196,-0.43340018,-0.16395375,0.8792153,-0.2638117,-0.21939903,0.9785673,-0.10778613,-0.25867647,0.33635613,-0.5487223,-0.14947385,0.6067349,-0.40941522,-0.23646852,0.78503156,-0.25376898,-0.28322628,0.9092227,-0.10867123,-0.30896267,0.22438616,-0.4035417,-0.20760682,0.4263243,-0.3375473,-0.28640452,0.5628424,-0.24578837,-0.31380472,0.6692831,-0.15372722,-0.32535553
I_LOVE_YOU,0.0,0.0,0.0,0.2577638,-0.11134643,0.03600195,0.45964417,-0.26616925,0.0015263767,0.61940324,-0.3659034,-0.051567364,0.7588523,-0.4027259,-0.11328094,0.48104972,-0.6162952,-0.08099827,0.7259293,-0.52901435,-0.19716941,0.88140124,-0.37958622,-0.2806559,0.97504944,-0.2219877,-0.32988593,0.39586225,-0.6297539,-0.15571932,0.6819858,-0.5388181,-0.26693866,0.8594449,-0.35443342,-0.32264057,0.9568441,-0.17444575,-0.35388732,0.29970098,-0.5539542,-0.2282588,0.572972,-0.4979818,-0.32820335,0.7697914,-0.33007762,-0.3634901,0.89548826,-0.16100955,-0.37693912,0.20640187,-0.40632477,-0.29576734,0.4270743,-0.37834948,-0.37290436,0.5887588,-0.2883401,-0.39227554,0.7084171,-0.18139686,-0.39689064
I_LOVE_YOU,0.0,0.0,0.0,0.30100635,-0.10636923,0.09671227,0.5327178,-0.22881685,0.09587796,0.6970247,-0.3179878,0.063940406,0.8159955,-0.3682184,0.026117343,0.596653,-0.63004357,0.033294514,0.8567638,-0.42726883,-0.031001179,0.9582399,-0.23492907,-0.08366693,0.99743277,-0.07160888,-0.11227879,0.53659135,-0.6051703,-0.052623164,0.8404127,-0.3819388,-0.091116376,0.9449428,-0.19408557,-0.11546961,0.98037434,-0.021271827,-0.1343921,0.45894256,-0.5003148,-0.13368519,0.7573559,-0.32060912,-0.16554922,0.87966055,-0.14977834,-0.17119619,0.9285881,0.01261682,-0.17425504,0.38281503,-0.3381719,-0.20788386,0.6226784,-0.23649924,-0.21724197,0.73586833,-0.12567565,-0.20065928,0.7963373,-0.0060968525,-0.18690856
I_LOVE_YOU,0.0,0.0,0.0,0.30992407,-0.11421736,0.081878066,0.5248418,-0.24321839,0.061156433,0.6909292,-0.3444122,0.012543708,0.8062959,-0.37924612,-0.042098235,0.5671576,-0.71867543,-0.0416989,0.8605579,-0.49287465,-0.12677468,0.9613645,-0.27527842,-0.17824876,0.9949787,-0.09859532,-0.20402086,0.49957862,-0.6880156,-0.12967238,0.8311579,-0.4544698,-0.19485112,0.93550783,-0.24926165,-0.21277414,0.9662379,-0.0757623,-0.22525035,0.41600567,-0.56037474,-0.21138445,0.73406553,-0.3861935,-0.26820803,0.8690237,-0.2009757,-0.27263293,0.9231631,-0.029214798,-0.272458,0.3324766,-0.36907595,-0.2853842,0.5890541,-0.27022216,-0.3155572,0.7197482,-0.15185113,-0.3044918,0.7934862,-0.025355551,-0.29323325
I_LOVE_YOU,0.0,0.0,0.0,0.32680944,-0.0699567,0.093025565,0.5466496,-0.19416116,0.09158205,0.69739765,-0.29279375,0.059455197,0.7998771,-0.34743297,0.024512272,0.6166254,-0.64410836,0.021134006,0.9079444,-0.40419033,-0.044375185,0.982847,-0.18442258,-0.08979827,0.99580276,-0.01851294,-0.11167796,0.5589316,-0.62285906,-0.06189208,0.88716775,-0.36185622,-0.107035525,0.95656234,-0.1449101,-0.12291839,0.95781815,0.028648838,-0.13093309,0.48588437,-0.5130449,-0.13971165,0.804359,-0.2892896,-0.18042347,0.8951246,-0.0881862,-0.18097825,0.91296726,0.0830899,-0.17446496,0.41594937,-0.3418758,-0.20999159,0.6598337,-0.19877407,-0.22765625,0.7613789,-0.06769301,-0.2141331,0.8135316,0.05983995,-0.19710663
I_LOVE_YOU,0.0,0.0,0.0,0.3105262,-0.10253148,0.090888254,0.5361565,-0.22508478,0.08330158,0.6988865,-0.3188085,0.045975164,0.8114734,-0.3563392,0.0076765534,0.62026644,-0.6492968,0.010016316,0.8915987,-0.42559823,-0.061938323,0.9764934,-0.19890821,-0.10915745,0.999883,-0.015297286,-0.13109012,0.55992097,-0.63223016,-0.074313976,0.87570155,-0.38998836,-0.12735023,0.96110445,-0.17383485,-0.14240293,0.9746386,0.010691323,-0.1499722,0.48591098,-0.52458525,-0.1535479,0.7903862,-0.31192958,-0.19324854,0.88701695,-0.120140806,-0.18780379,0.90935636,0.052194443,-0.17876586,0.4121718,-0.35014716,-0.22666633,0.6643428,-0.21105304,-0.2353523,0.7712949,-0.080641635,-0.21438277,0.8249713,0.046797257,-0.19484818
I_LOVE_YOU,0.0,0.0,0.0,0.26072454,-0.17415455,0.07128235,0.47697583,-0.32356855,0.04891924,0.65278655,-0.42055145,0.0010439751,0.782478,-0.44682848,-0.048668183,0.57231337,-0.67011553,-0.028344005,0.86370057,-0.4919238,-0.12477315,0.9611865,-0.27589947,-0.18586421,0.99134177,-0.090637915,-0.2122817,0.51159585,-0.64162916,-0.10898659,0.82747096,-0.4528064,-0.18392971,0.9424254,-0.24095382,-0.20608312,0.97895354,-0.043631915,-0.213357,0.43353376,-0.52978784,-0.18696754,0.73644185,-0.37501836,-0.24713548,0.87295336,-0.18508528,-0.25050452,0.9238822,0.0017096016,-0.241175,0.35511756,-0.3556887,-0.25946522,0.60574573,-0.26470616,-0.2857985,0.730449,-0.14827964,-0.27241117,0.79423344,-0.017552244,-0.25330928
I_LOVE_YOU,0.0,0.0,0.0,0.28658247,-0.1377287,0.091699004,0.5033543,-0.27881667,0.08571623,0.67055553,-0.3584764,0.048836935,0.7965075,-0.3819989,0.007880409,0.5928287,-0.6319966,0.020791043,0.8694941,-0.45893538,-0.056955665,0.96503997,-0.24619249,-0.11576231,0.9976261,-0.0688637,-0.14464736,0.54190373,-0.6051072,-0.065972365,0.85383916,-0.4144524,-0.11889929,0.9612298,-0.20811132,-0.14369039,0.9953412,-0.02316325,-0.1573479,0.47272095,-0.49890733,-0.1494102,0.7754707,-0.32384536,-0.1929225,0.89897513,-0.1325023,-0.1992521,0.9465921,0.047252975,-0.19671433,0.4031167,-0.33634415,-0.22664711,0.64301974,-0.23842771,-0.24354328,0.76167125,-0.123300545,-0.23101403,0.830544,-0.00016412936,-0.21572128
