label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
NO,0.0,0.0,0.0,-0.14098535,-0.027237372,-0.034586836,-0.26731738,-0.08393466,-0.07841383,-0.35410917,-0.10177245,-0.13013878,-0.43073657,-0.12521257,-0.182734,-0.27802706,-0.38671213,-0.09443744,-0.33576405,-0.6110876,-0.16297469,-0.3795211,-0.7734957,-0.19766286,-0.40838203,-0.9075963,-0.21403828,-0.2021418,-0.42359218,-0.12615027,-0.24490887,-0.6436804,-0.19269016,-0.29955304,-0.80937,-0.22748831,-0.3495988,-0.93689954,-0.23871319,-0.12500535,-0.38697904,-0.15764777,-0.25479797,-0.28464937,-0.23322596,-0.31972313,-0.114806905,-0.23704529,-0.3469528,0.009371973,-0.21542306,-0.06405736,-0.28982642,-0.19244775,-0.1798458,-0.14492643,-0.23565365,-0.22701804,-0.02227145,-0.21795547,-0.24374495,0.0666573,-0.18981917
NO,0.0,0.0,0.0,-0.09629693,-0.022510331,-0.046799365,-0.19503222,-0.09193437,-0.09991139,-0.2339257,-0.13851997,-0.15899429,-0.22618218,-0.17769416,-0.21978028,-0.20013466,-0.38592017,-0.10975984,-0.29121715,-0.5762413,-0.17715138,-0.35951516,-0.7028321,-0.21274306,-0.40657803,-0.8135913,-0.23406243,-0.11002361,-0.42166406,-0.14122595,-0.14437999,-0.6809431,-0.21318883,-0.18005742,-0.843334,-0.25313008,-0.2067175,-0.97840065,-0.26919618,-0.02184163,-0.39007056,-0.17316526,-0.11676529,-0.413794,-0.26208383,-0.14827633,-0.2665321,-0.273649,-0.15006489,-0.16863053,-0.2562951,0.051705256,-0.3057702,-0.20734453,-0.047653988,-0.29197183,-0.27132362,-0.0994305,-0.1848127,-0.26201218,-0.117025025,-0.098838024,-0.2388775
NO,0.0,0.0,0.0,-0.122516066,-0.017514668,-0.05318856,-0.2246283,-0.07928454,-0.11547079,-0.25935844,-0.14720564,-0.18573065,-0.23101199,-0.22991715,-0.25471237,-0.20670822,-0.37753007,-0.09986714,-0.28046393,-0.5559251,-0.18207145,-0.33045205,-0.6765323,-0.22750449,-0.36352387,-0.7778711,-0.25115764,-0.11974715,-0.41353038,-0.1280272,-0.13598068,-0.67034584,-0.2186544,-0.1679576,-0.84162843,-0.26532784,-0.19249442,-0.9812981,-0.28031963,-0.035347447,-0.38750952,-0.15954563,-0.12895988,-0.40974012,-0.2671081,-0.1704569,-0.24731892,-0.27382663,-0.17672071,-0.12819545,-0.24429053,0.032831486,-0.3144001,-0.19358784,-0.06306932,-0.30720732,-0.2613599,-0.11713999,-0.19357695,-0.24351373,-0.13819918,-0.09625532,-0.20920686
NO,0.0,0.0,0.0,-0.09835902,-0.039631087,-0.037370786,-0.17683691,-0.13676697,-0.07960637,-0.20184365,-0.22265822,-0.12986384,-0.19191201,-0.3051454,-0.1798532,-0.12956876,-0.41815934,-0.07860543,-0.19979747,-0.60731626,-0.13219969,-0.24729154,-0.7252297,-0.15810686,-0.2822036,-0.83090997,-0.17341115,-0.04442641,-0.4454288,-0.10763219,-0.042466816,-0.7086663,-0.1694893,-0.054169595,-0.8730632,-0.20394705,-0.060727343,-0.99815434,-0.2166683,0.03176754,-0.411103,-0.13838132,-0.05163602,-0.46287015,-0.224333,-0.12815197,-0.3169591,-0.23973273,-0.16488533,-0.20189825,-0.2243691,0.09045187,-0.3331176,-0.1701242,-0.001968582,-0.3583075,-0.23451029,-0.073515035,-0.2576498,-0.23127237,-0.11024903,-0.16317585,-0.21229473
NO,0.0,0.0,0.0,-0.11883353,-0.10295937,-0.039803263,-0.17297582,-0.28710786,-0.059881914,-0.12104729,-0.43583134,-0.08468332,-0.042810395,-0.52518076,-0.10842548,-0.07811836,-0.46905747,-0.039905936,-0.13136646,-0.6671753,-0.07273692,-0.16283156,-0.7943038,-0.08852929,-0.18165605,-0.9011938,-0.09851959,0.024458554,-0.48947686,-0.055239495,0.076833025,-0.74787503,-0.089488275,0.086653195,-0.8955354,-0.11000673,0.10414849,-0.99456173,-0.11556738,0.10825975,-0.44589183,-0.07497958,0.10072542,-0.6166106,-0.13526617,0.035092954,-0.5300425,-0.14457406,0.013071845,-0.44195062,-0.12920608,0.17565888,-0.36781833,-0.09712457,0.14740573,-0.47778922,-0.14665173,0.08705766,-0.4244957,-0.14255372,0.066905834,-0.34872395,-0.12388049
NO,0.0,0.0,0.0,-0.11027721,-0.1380464,-0.024263913,-0.15311225,-0.32445705,-0.04130228,-0.101709135,-0.48060358,-0.06922831,-0.03313878,-0.5848156,-0.09637111,-0.072671816,-0.4772738,-0.0052342606,-0.1310856,-0.68037146,-0.043137547,-0.17271036,-0.8043364,-0.06602573,-0.19715297,-0.9104609,-0.07970878,0.017024714,-0.50012773,-0.026918301,0.070965976,-0.7577989,-0.0661497,0.07507228,-0.9019236,-0.08980833,0.08736291,-0.99617654,-0.09793543,0.09532902,-0.46407196,-0.05458942,0.09059606,-0.66285336,-0.11722536,0.015576925,-0.5882123,-0.12515749,-0.013821713,-0.48723382,-0.10888977,0.1679617,-0.3931505,-0.083967745,0.14716047,-0.5438151,-0.123107836,0.08146597,-0.50730836,-0.11109598,0.050705098,-0.42761353,-0.08971293
NO,0.0,0.0,0.0,-0.11111587,-0.15170945,-0.029201576,-0.14384419,-0.33688363,-0.044412557,-0.078152604,-0.48713505,-0.06965708,-0.0034335207,-0.5912621,-0.09358696,-0.07647551,-0.4864655,0.0036648356,-0.13693702,-0.69416034,-0.03034869,-0.1745714,-0.8192658,-0.052284557,-0.19374034,-0.9227512,-0.064792335,0.015047682,-0.5051579,-0.014634397,0.0674757,-0.7560289,-0.050573777,0.07256388,-0.9025392,-0.07639116,0.08542333,-0.99634475,-0.087166496,0.09188174,-0.46882856,-0.040663972,0.09961081,-0.6698572,-0.103239335,0.02884029,-0.6074475,-0.11936448,-0.0018506582,-0.51501477,-0.10928618,0.15954432,-0.40118286,-0.06859244,0.14945602,-0.5638099,-0.110099055,0.084287204,-0.52669764,-0.10372216,0.048606962,-0.44295764,-0.08677321
NO,0.0,0.0,0.0,-0.11319663,-0.14092015,-0.033641722,-0.14454897,-0.33901477,-0.047823332,-0.07091303,-0.4888321,-0.07153663,0.016565371,-0.5790055,-0.09409634,-0.07978324,-0.4929629,0.0035814347,-0.13387537,-0.6969152,-0.027185105,-0.1673801,-0.8198631,-0.04672534,-0.18482216,-0.9250919,-0.060145788,0.013399348,-0.5074627,-0.013946817,0.06275473,-0.7534751,-0.048778664,0.07233359,-0.89669156,-0.07425078,0.089749925,-0.9959644,-0.0863486,0.08965761,-0.4633883,-0.03989639,0.106744386,-0.67170084,-0.10663368,0.031242793,-0.5943821,-0.124283955,-0.0057219397,-0.4961322,-0.1151151,0.15433498,-0.3873036,-0.06805734,0.14502305,-0.5458005,-0.11997501,0.075902864,-0.50942874,-0.121741846,0.035320196,-0.43240032,-0.109869204
NO,0.0,0.0,0.0,-0.10127111,-0.15125354,-0.034056008,-0.12601735,-0.34310803,-0.051695596,-0.05406062,-0.48757765,-0.07867978,0.031134358,-0.5748157,-0.10461601,-0.064785406,-0.49919522,0.0005498628,-0.11950014,-0.69720834,-0.031039158,-0.15529893,-0.81818646,-0.053338725,-0.17324087,-0.9241263,-0.069548026,0.025146233,-0.5101653,-0.01714866,0.07724418,-0.7503727,-0.052248262,0.08799661,-0.8935492,-0.08198004,0.106702045,-0.994291,-0.09954147,0.10004649,-0.464419,-0.042858284,0.12792921,-0.66691136,-0.105505206,0.055261213,-0.6016235,-0.12726416,0.016993597,-0.50938535,-0.12442511,0.16436315,-0.38764247,-0.070932046,0.16573209,-0.5415011,-0.11734428,0.10440973,-0.50767267,-0.119734064,0.06723259,-0.42942894,-0.11114427
NO,0.0,0.0,0.0,-0.100423254,-0.16503711,-0.034636624,-0.11850157,-0.3571269,-0.050316464,-0.042317577,-0.4958501,-0.076359876,0.044044543,-0.57418764,-0.10130866,-0.064047985,-0.50575733,0.0098933885,-0.11962662,-0.70201045,-0.02280486,-0.15625595,-0.8255388,-0.048737586,-0.17501177,-0.9331697,-0.06772955,0.0273107,-0.5166645,-0.007087009,0.08032904,-0.7477295,-0.042372763,0.09076681,-0.8925109,-0.075417794,0.106707774,-0.9942904,-0.096588455,0.10199033,-0.47340083,-0.033342134,0.13249257,-0.6740024,-0.09543908,0.059353407,-0.62676,-0.122914895,0.016980711,-0.5423666,-0.1252439,0.1649893,-0.40120742,-0.062470537,0.17283465,-0.5553945,-0.10739325,0.10851959,-0.5321009,-0.11350841,0.0627887,-0.4562287,-0.10909514
