label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
PLEASE,0.0,0.0,0.0,0.0012570777,-0.20600042,-0.022378078,-0.07594815,-0.32241338,-0.04302464,-0.1454108,-0.37227237,-0.058982067,-0.19207673,-0.4046622,-0.07715743,-0.32330453,-0.3188979,-0.086289786,-0.5343867,-0.3858378,-0.13224618,-0.6686942,-0.4148039,-0.15472946,-0.770629,-0.4310904,-0.16821772,-0.38899037,-0.17492783,-0.10049836,-0.6340542,-0.28355137,-0.15927443,-0.79065365,-0.35641524,-0.18420236,-0.9090657,-0.41665286,-0.19626154,-0.43148133,-0.025579002,-0.11410334,-0.6579385,-0.1471898,-0.16464674,-0.8020574,-0.23722059,-0.19479409,-0.91581833,-0.3118368,-0.20883393,-0.44605315,0.120086394,-0.1259731,-0.63313115,0.026908988,-0.17221445,-0.7524015,-0.04727251,-0.1971489,-0.8508615,-0.12567523,-0.2091918
PLEASE,0.0,0.0,0.0,0.001670119,-0.21571517,0.036507633,-0.08405369,-0.3387547,0.05579688,-0.17484637,-0.3929461,0.07206045,-0.21580473,-0.43298173,0.085444465,-0.34216356,-0.33124316,-0.008849931,-0.5465469,-0.39833465,-0.022938887,-0.671935,-0.41329592,-0.024125341,-0.7638367,-0.41550964,-0.024079518,-0.40493527,-0.19511566,-0.036596887,-0.64902186,-0.31849805,-0.0692884,-0.793378,-0.3849801,-0.079462275,-0.899954,-0.4359848,-0.08010297,-0.44173387,-0.051749226,-0.058975913,-0.6705673,-0.18704203,-0.08990661,-0.8079156,-0.26434544,-0.11170854,-0.9152666,-0.33102602,-0.12056184,-0.44751877,0.09216155,-0.07432041,-0.63298666,-0.005856706,-0.10085549,-0.7454218,-0.07496531,-0.114258714,-0.8391691,-0.15016018,-0.118799865
PLEASE,0.0,0.0,0.0,-0.015268169,-0.20157336,0.057165325,-0.10681393,-0.31724793,0.09806507,-0.19986364,-0.36498556,0.1330409,-0.25250262,-0.3676041,0.16577682,-0.3671218,-0.31062594,0.043063615,-0.5589481,-0.36467254,0.042409442,-0.679043,-0.37616792,0.04507548,-0.7690673,-0.3795023,0.046933606,-0.42812338,-0.18525946,0.011066315,-0.6625209,-0.29372022,-0.012724806,-0.80462104,-0.35410234,-0.021594338,-0.9161484,-0.40083933,-0.020319609,-0.4604635,-0.05323483,-0.016301343,-0.68124294,-0.17202547,-0.04383373,-0.8138982,-0.24594897,-0.065081075,-0.9234839,-0.3073932,-0.07162282,-0.45973206,0.0766284,-0.035403866,-0.6437975,-0.018733945,-0.0642657,-0.7561145,-0.0819255,-0.0796491,-0.8508242,-0.14948256,-0.08381402
PLEASE,0.0,0.0,0.0,-0.015225429,-0.2180576,0.0454414,-0.10628472,-0.34611773,0.07867849,-0.20212989,-0.40082794,0.109999515,-0.26388487,-0.4219413,0.14087074,-0.36132404,-0.3290357,0.020299489,-0.55795664,-0.39067248,0.019360315,-0.67725515,-0.4041444,0.023777353,-0.7688245,-0.4074203,0.026893301,-0.421531,-0.19843403,-0.0039294725,-0.6572554,-0.31906503,-0.025946032,-0.79444885,-0.3846316,-0.030977076,-0.90121895,-0.43336403,-0.027937131,-0.45458558,-0.067842096,-0.022994058,-0.67420876,-0.20603168,-0.044718724,-0.8008099,-0.28741306,-0.061048586,-0.9044561,-0.35611233,-0.06626067,-0.45752105,0.05502476,-0.034911934,-0.6419906,-0.039189026,-0.055374786,-0.7514755,-0.10023889,-0.06576708,-0.8419867,-0.16850771,-0.06776593
PLEASE,0.0,0.0,0.0,-0.02458953,-0.21479528,0.0406526,-0.12140591,-0.33478236,0.06512298,-0.21737982,-0.38328558,0.08539897,-0.27633846,-0.3998378,0.10474394,-0.3772082,-0.31046227,0.017092023,-0.5772761,-0.37393245,0.01257379,-0.6935221,-0.39153388,0.013828995,-0.7835609,-0.3993854,0.014544649,-0.43407103,-0.17761604,-0.010189126,-0.6734647,-0.2951452,-0.032833125,-0.8076781,-0.3603108,-0.039172832,-0.9122161,-0.40970922,-0.038077567,-0.46143082,-0.04837835,-0.03318596,-0.68561375,-0.18050414,-0.05538249,-0.8120351,-0.26123402,-0.07098498,-0.91286516,-0.32665944,-0.07640959,-0.4580269,0.06920233,-0.04996946,-0.6469468,-0.026610844,-0.06771592,-0.75947595,-0.089181915,-0.07435612,-0.851396,-0.1540775,-0.07472328
PLEASE,0.0,0.0,0.0,-0.031826187,-0.23534352,0.041495703,-0.13766421,-0.3673638,0.06761976,-0.24242575,-0.41822723,0.090749614,-0.2969862,-0.42666492,0.113029346,-0.3521909,-0.32145655,0.005920885,-0.5576721,-0.3854092,0.0016514742,-0.6797626,-0.39437535,0.0067953067,-0.77518743,-0.39230162,0.010322691,-0.4165963,-0.18956606,-0.018960942,-0.65640604,-0.31552407,-0.044653572,-0.7947273,-0.38223875,-0.048679214,-0.9028359,-0.42998526,-0.044287153,-0.4522396,-0.06415921,-0.03782962,-0.6705608,-0.20516346,-0.05706957,-0.7964516,-0.28737378,-0.06853721,-0.8984932,-0.35206756,-0.07126127,-0.45599768,0.04431488,-0.05058531,-0.6425753,-0.049817294,-0.06360207,-0.75352323,-0.1099637,-0.06705919,-0.8447817,-0.17073366,-0.065183036
PLEASE,0.0,0.0,0.0,-0.021112077,-0.2275737,0.045425974,-0.11811002,-0.35818073,0.076507226,-0.21936703,-0.40528998,0.10401702,-0.27956235,-0.4070917,0.13067487,-0.3646241,-0.3293823,0.020751674,-0.5739898,-0.39037398,0.01994766,-0.6936062,-0.4002578,0.026137412,-0.7819238,-0.40005845,0.031076657,-0.42525986,-0.19745032,-0.0043985713,-0.66830856,-0.31720707,-0.022367602,-0.8030382,-0.381375,-0.02403154,-0.9045401,-0.4263885,-0.019679792,-0.45557502,-0.069265574,-0.025008094,-0.6782569,-0.20210403,-0.041067798,-0.80385125,-0.2803677,-0.054775566,-0.90389335,-0.34321883,-0.05999215,-0.4558678,0.045952886,-0.039096184,-0.6444649,-0.042989183,-0.05391019,-0.7551598,-0.10198877,-0.061650544,-0.8451295,-0.16434637,-0.06316398
PLEASE,0.0,0.0,0.0,-0.03275465,-0.23260222,0.035322707,-0.13433242,-0.36203334,0.05772723,-0.23416431,-0.40870196,0.076946154,-0.28790215,-0.40420493,0.09439183,-0.3571718,-0.31846225,0.0010260168,-0.5613644,-0.38013965,-0.008786572,-0.6799784,-0.39033428,-0.010054012,-0.7723951,-0.39133498,-0.011147608,-0.4239483,-0.18488958,-0.024218986,-0.66515946,-0.30553743,-0.047930807,-0.801441,-0.37293923,-0.05555075,-0.90575117,-0.4238098,-0.056965996,-0.46011743,-0.05860451,-0.04483994,-0.6826761,-0.19454074,-0.06539778,-0.80931276,-0.27880105,-0.084227495,-0.9098914,-0.34775856,-0.09446567,-0.46390247,0.051301118,-0.05983529,-0.6526069,-0.04329036,-0.07969922,-0.76362145,-0.105654344,-0.09043473,-0.855203,-0.16994564,-0.094989605
PLEASE,0.0,0.0,0.0,-0.020707946,-0.2323021,0.02983027,-0.11357333,-0.36142024,0.047619507,-0.21191302,-0.40859294,0.0643606,-0.2647282,-0.40910172,0.079793565,-0.3480839,-0.3206009,-0.017044498,-0.55554163,-0.3835251,-0.032161605,-0.6774188,-0.39656612,-0.033917133,-0.7698957,-0.39845395,-0.03397179,-0.41298014,-0.18735413,-0.039212313,-0.6592994,-0.31453237,-0.06768246,-0.7977299,-0.38358572,-0.07392107,-0.9018496,-0.43205008,-0.07298145,-0.4488231,-0.06136485,-0.05622254,-0.6744081,-0.20279357,-0.07865166,-0.8018519,-0.2841557,-0.094352774,-0.9027137,-0.3505772,-0.10155415,-0.45351657,0.049724642,-0.067829944,-0.64124155,-0.043765977,-0.0867325,-0.75116575,-0.103477314,-0.0951813,-0.841724,-0.16579339,-0.09743866
PLEASE,0.0,0.0,0.0,-0.02592182,-0.22374538,0.038438395,-0.11809566,-0.34757423,0.06240712,-0.2044652,-0.40444484,0.08292132,-0.24691924,-0.4330731,0.10274373,-0.35614216,-0.3246487,0.00454469,-0.5540932,-0.38612533,-0.007499961,-0.6719868,-0.39849162,-0.009345106,-0.7623178,-0.40099567,-0.0102616735,-0.4193958,-0.19676048,-0.022219125,-0.66061527,-0.31328565,-0.051091406,-0.79745966,-0.3795658,-0.05861743,-0.9028307,-0.42999628,-0.0580184,-0.4532122,-0.0717798,-0.044438843,-0.6743201,-0.20060179,-0.07052916,-0.8006811,-0.2802349,-0.08830971,-0.90146744,-0.34757388,-0.09543688,-0.454558,0.041908342,-0.060630254,-0.6385438,-0.05008769,-0.08494989,-0.74855167,-0.110309154,-0.0970331,-0.8397186,-0.17458643,-0.10095774
