label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
STOP,0.0,0.0,0.0,-0.21499585,-0.100507,-0.008835405,-0.3723693,-0.3459425,-0.018998487,-0.44479555,-0.55667037,-0.049864896,-0.44598082,-0.71368325,-0.07452634,-0.1351523,-0.8001495,0.061972056,-0.32908726,-0.93301725,-0.024271846,-0.40027317,-0.7499594,-0.09724437,-0.35290766,-0.5688437,-0.13425346,-0.07708014,-0.8321945,0.023064548,-0.2984337,-0.95443034,-0.05092501,-0.37098888,-0.74636203,-0.0994634,-0.3160133,-0.5681854,-0.11706223,-0.026714392,-0.82899976,-0.030253904,-0.2700682,-0.9381723,-0.10609421,-0.33421966,-0.72073025,-0.10967539,-0.2637739,-0.54514843,-0.09213062,0.006194701,-0.77703035,-0.08794157,-0.22731316,-0.8514301,-0.15286681,-0.29058874,-0.6788403,-0.14515519,-0.23494987,-0.51606244,-0.11948202
STOP,0.0,0.0,0.0,-0.18046308,-0.06388479,-0.028715838,-0.33248866,-0.30858716,-0.034910265,-0.44097757,-0.50006324,-0.05442142,-0.5036191,-0.6752189,-0.06088902,-0.095820405,-0.6856132,0.05492818,-0.22114205,-0.9032757,-0.008204008,-0.34432542,-0.84808904,-0.0630653,-0.38256478,-0.7153866,-0.0896731,-0.04720302,-0.72216296,0.03227292,-0.177256,-0.9739477,-0.017432433,-0.3144067,-0.9026042,-0.049488258,-0.36060768,-0.7737764,-0.057374146,-0.01930634,-0.7292148,-0.007141845,-0.17115632,-0.9852439,-0.06694834,-0.30897465,-0.90965736,-0.07461646,-0.34585646,-0.7791729,-0.060469158,-0.0320872,-0.70635015,-0.051936865,-0.19574876,-0.9295967,-0.10220922,-0.3190039,-0.8940416,-0.09954528,-0.36150014,-0.78271246,-0.08003243
STOP,0.0,0.0,0.0,-0.20677912,-0.08708632,-0.008054223,-0.34218663,-0.31382492,-0.016270699,-0.45224005,-0.4746852,-0.04215516,-0.53775275,-0.62483704,-0.05743134,-0.094078265,-0.6928735,0.060538918,-0.24084994,-0.910994,-0.003022597,-0.3772827,-0.8340219,-0.055298485,-0.42578864,-0.6847804,-0.07942874,-0.044830002,-0.7165399,0.0279474,-0.21613425,-0.96451277,-0.0190527,-0.36917663,-0.8561882,-0.04818444,-0.4107977,-0.7132287,-0.057605866,-0.029327048,-0.70208555,-0.019286215,-0.21010698,-0.97767836,-0.08169295,-0.36884975,-0.8670718,-0.09477397,-0.41432783,-0.71409655,-0.08714661,-0.06951049,-0.6537987,-0.068608716,-0.24398357,-0.8807761,-0.119745985,-0.37717992,-0.8166733,-0.11958066,-0.4262526,-0.68474567,-0.10494562
STOP,0.0,0.0,0.0,-0.2048524,-0.10675482,-0.0126260305,-0.33145833,-0.3171921,-0.028344773,-0.4403957,-0.47821385,-0.06138004,-0.51961744,-0.63378376,-0.08187075,-0.09884203,-0.67271274,0.054987498,-0.23923865,-0.9016661,-0.01254581,-0.37555376,-0.8133548,-0.06375927,-0.40947193,-0.6663385,-0.08802967,-0.057355963,-0.7001097,0.022453493,-0.22568925,-0.95978063,-0.03670362,-0.37484023,-0.8331841,-0.06441555,-0.39522776,-0.69739103,-0.0700361,-0.046896815,-0.69481176,-0.02512551,-0.2288879,-0.97345275,-0.09761903,-0.38037086,-0.8514858,-0.108459994,-0.40286675,-0.6980609,-0.09664871,-0.08434043,-0.65832067,-0.07526408,-0.26465148,-0.878276,-0.13553143,-0.39303157,-0.8076275,-0.13869534,-0.42382255,-0.67410535,-0.12454871
STOP,0.0,0.0,0.0,-0.21298632,-0.1252817,-0.008690733,-0.3387148,-0.31861645,-0.028727725,-0.43874407,-0.47510397,-0.06945985,-0.5181849,-0.62837243,-0.099796526,-0.10193853,-0.6501847,0.06655286,-0.2351532,-0.86982703,-0.0075953514,-0.3680443,-0.8055218,-0.066653445,-0.41821083,-0.6642823,-0.09375332,-0.058939513,-0.68541896,0.030032802,-0.22139683,-0.9461336,-0.028592264,-0.37253547,-0.8386995,-0.06198266,-0.4170812,-0.70769095,-0.0724021,-0.04258268,-0.6908945,-0.022621809,-0.22167198,-0.9751213,-0.09620416,-0.38185203,-0.85568565,-0.11139496,-0.42880046,-0.6973774,-0.102705725,-0.07370723,-0.6593957,-0.07752414,-0.25414446,-0.87119895,-0.13582103,-0.38870612,-0.7993356,-0.13849463,-0.436925,-0.66294646,-0.124689
STOP,0.0,0.0,0.0,-0.23087516,-0.1255096,-0.009308614,-0.3577512,-0.31969136,-0.029341992,-0.4525275,-0.4814547,-0.07104617,-0.53830165,-0.62613016,-0.104661226,-0.1275287,-0.642146,0.0717916,-0.24401936,-0.8412473,-0.005626627,-0.38007694,-0.78056514,-0.06843245,-0.43515158,-0.6548542,-0.09888791,-0.07837651,-0.684687,0.032828,-0.22815694,-0.94196606,-0.03567125,-0.3932977,-0.826297,-0.07140532,-0.44375998,-0.6903124,-0.08015723,-0.054600574,-0.6957517,-0.0233495,-0.225827,-0.9741674,-0.10488749,-0.39394963,-0.850414,-0.119881086,-0.4394417,-0.689491,-0.107964605,-0.07779322,-0.66777223,-0.08242914,-0.25285333,-0.8744088,-0.14200749,-0.3882112,-0.8064711,-0.14431182,-0.43198454,-0.6773051,-0.1299958
STOP,0.0,0.0,0.0,-0.22277997,-0.13233452,-0.010699813,-0.3435217,-0.3264971,-0.027389226,-0.43603235,-0.48374847,-0.06601889,-0.5094739,-0.6325851,-0.09718245,-0.113441065,-0.6287459,0.079364665,-0.23812734,-0.82268625,0.0005931199,-0.37292442,-0.7650884,-0.066373065,-0.42503285,-0.6544416,-0.1000025,-0.058189522,-0.67342865,0.039714444,-0.21586579,-0.9326206,-0.035637915,-0.37877125,-0.8208561,-0.081469044,-0.42670327,-0.68758714,-0.09661119,-0.03255686,-0.6878458,-0.017723028,-0.20388916,-0.978994,-0.10533493,-0.37561178,-0.8623043,-0.12946074,-0.42474356,-0.70812064,-0.12239625,-0.0588799,-0.6641676,-0.07791221,-0.22850159,-0.89492357,-0.14310353,-0.36913943,-0.82918507,-0.15011543,-0.4219083,-0.69538075,-0.13891393
STOP,0.0,0.0,0.0,-0.2283394,-0.13889167,-0.009450623,-0.34856883,-0.33421364,-0.029887069,-0.43872762,-0.49352136,-0.07281749,-0.50868803,-0.6404209,-0.10646564,-0.10889673,-0.6441941,0.078822754,-0.22356908,-0.85044545,0.0022452855,-0.35380235,-0.7934233,-0.0609904,-0.4048021,-0.6681388,-0.0920793,-0.05405357,-0.68319327,0.039214257,-0.2047524,-0.9473204,-0.031004278,-0.35925043,-0.83769387,-0.07030944,-0.40563515,-0.69951504,-0.0815142,-0.022047866,-0.69526803,-0.018162062,-0.19110559,-0.98156947,-0.09848284,-0.3564754,-0.8668233,-0.11564452,-0.40507936,-0.7070273,-0.10569147,-0.03579712,-0.6714103,-0.07902568,-0.20782158,-0.8857332,-0.13909778,-0.34981668,-0.82923096,-0.14502901,-0.40713292,-0.70254266,-0.13381569
STOP,0.0,0.0,0.0,-0.22716013,-0.14944096,0.00094395917,-0.3473422,-0.36156547,-0.012179307,-0.43094555,-0.5206116,-0.04900698,-0.49454197,-0.66788316,-0.07911944,-0.12062378,-0.6544332,0.08036767,-0.23831953,-0.84693164,0.0023860952,-0.3658819,-0.79633415,-0.06393995,-0.42329744,-0.67827123,-0.097008266,-0.05327635,-0.69449794,0.0344586,-0.20884185,-0.94423556,-0.03794776,-0.36646122,-0.84628314,-0.08446399,-0.42124543,-0.7059275,-0.1009777,-0.01063943,-0.70454043,-0.027632035,-0.18190107,-0.98331684,-0.10929301,-0.35278833,-0.88467336,-0.13409315,-0.4100482,-0.7306477,-0.12965538,-0.017235221,-0.6761185,-0.091714025,-0.19527175,-0.8862475,-0.15270887,-0.34002352,-0.8488408,-0.16222765,-0.40271467,-0.7377384,-0.15396148
STOP,0.0,0.0,0.0,-0.2264978,-0.13988738,-0.007423967,-0.34513497,-0.35618016,-0.025212603,-0.42857853,-0.5159552,-0.0665139,-0.48587927,-0.6641593,-0.09648706,-0.09859567,-0.6630749,0.07370491,-0.20142561,-0.9017156,-0.0056425505,-0.34213397,-0.83432907,-0.061907005,-0.39710253,-0.690552,-0.085163765,-0.03975309,-0.68838733,0.03348821,-0.18838336,-0.96822214,-0.0425327,-0.3533293,-0.83821154,-0.07480768,-0.39377668,-0.6865868,-0.07500916,-0.0011434314,-0.68869656,-0.02431341,-0.16896287,-0.9856224,-0.11025132,-0.3406996,-0.8570305,-0.12122714,-0.38341454,-0.6877053,-0.1012373,-0.004354528,-0.65456843,-0.08497654,-0.17031336,-0.8847044,-0.14891967,-0.32155946,-0.83177507,-0.1517698,-0.3809423,-0.7031926,-0.13389078
