label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
YES,0.0,0.0,0.0,-0.1658454,-0.09904698,-0.060732987,-0.29900596,-0.2988231,-0.11541239,-0.34598553,-0.47240177,-0.15497805,-0.3499348,-0.62543875,-0.19687411,-0.2420532,-0.31285375,-0.20257482,-0.22626033,-0.59579474,-0.2830219,-0.21367249,-0.8085588,-0.32825428,-0.2001751,-0.97976017,-0.35511288,-0.13065255,-0.27883652,-0.20411491,-0.09889019,-0.5840654,-0.26570642,-0.08545682,-0.8031264,-0.28003764,-0.079378456,-0.988134,-0.29468212,-0.013461475,-0.25880042,-0.20235884,0.024765538,-0.558554,-0.2507374,0.02445039,-0.76694727,-0.2400001,0.030478345,-0.94226897,-0.23370345,0.09868522,-0.25201994,-0.20400399,0.1259851,-0.4834393,-0.24404319,0.12659822,-0.6657781,-0.23704308,0.12802319,-0.82194537,-0.23004246
YES,0.0,0.0,0.0,-0.14905915,-0.13389063,-0.07466692,-0.23857027,-0.35244521,-0.14099021,-0.22844867,-0.5517873,-0.18810806,-0.18403985,-0.7055566,-0.24091332,-0.20872983,-0.31191432,-0.23512779,-0.20211667,-0.5860348,-0.32536018,-0.20087215,-0.80555546,-0.38058233,-0.20487031,-0.97878915,-0.4161474,-0.08818041,-0.26644787,-0.23618583,-0.07516783,-0.5791197,-0.30790353,-0.07911911,-0.80592877,-0.33429903,-0.091735065,-0.99235654,-0.35751605,0.03723418,-0.22360462,-0.2321131,0.06662713,-0.50861746,-0.2882951,0.06792497,-0.7196908,-0.28778473,0.068413794,-0.88558936,-0.28866524,0.15067251,-0.18499905,-0.23148619,0.18338236,-0.3949625,-0.2797582,0.1946985,-0.5611973,-0.2779474,0.20375957,-0.69822973,-0.27510652
YES,0.0,0.0,0.0,-0.16430262,-0.116095446,-0.06779501,-0.2674116,-0.33121014,-0.13055135,-0.2822978,-0.5333257,-0.17447866,-0.24686345,-0.68767923,-0.22086176,-0.1914938,-0.32855392,-0.2215258,-0.1923768,-0.61129785,-0.29928964,-0.20451489,-0.8179744,-0.3394816,-0.22134785,-0.97519493,-0.3643986,-0.06710958,-0.298856,-0.22028576,-0.059521686,-0.6041378,-0.27990103,-0.07350578,-0.8121831,-0.29511657,-0.090670794,-0.97041583,-0.30957505,0.057066713,-0.2635668,-0.21290112,0.075671434,-0.5474105,-0.2590823,0.063646495,-0.7410544,-0.25224006,0.047471922,-0.8833716,-0.24897857,0.16695072,-0.23016012,-0.20794287,0.19935572,-0.43645608,-0.2507706,0.20356672,-0.5842588,-0.24616955,0.1984455,-0.6977004,-0.2395627
YES,0.0,0.0,0.0,-0.16027586,-0.11521531,-0.06549448,-0.25775224,-0.33739865,-0.12585163,-0.2698633,-0.5413455,-0.16760331,-0.24452883,-0.69263,-0.21124753,-0.18392685,-0.3204801,-0.22078,-0.15378617,-0.6159374,-0.29460672,-0.14629667,-0.8293587,-0.32942975,-0.1502555,-0.9886472,-0.34973004,-0.058828168,-0.28662065,-0.21770954,-0.021045776,-0.60691535,-0.27397344,-0.022725277,-0.82343113,-0.2865531,-0.034404926,-0.98138577,-0.29898766,0.06599056,-0.25443718,-0.20782676,0.10988861,-0.554783,-0.24987227,0.102711506,-0.75571996,-0.2414014,0.08606771,-0.8987744,-0.23685859,0.17396113,-0.22978012,-0.19998571,0.22319986,-0.45662966,-0.24070121,0.22954358,-0.6125662,-0.23614411,0.22203211,-0.728918,-0.22906415
YES,0.0,0.0,0.0,-0.13488872,-0.1279275,-0.053555854,-0.21183069,-0.3427979,-0.10343475,-0.2159574,-0.53359115,-0.13923576,-0.18937239,-0.68255734,-0.17890452,-0.16549733,-0.36049452,-0.17667523,-0.12119036,-0.6364578,-0.24830666,-0.09412696,-0.82547104,-0.28660613,-0.077734515,-0.9757466,-0.3098981,-0.060550284,-0.3326033,-0.18202154,-0.005912867,-0.63655275,-0.24176118,0.013613945,-0.83887345,-0.26803327,0.02293209,-0.999737,-0.28889248,0.044610385,-0.29414678,-0.18289763,0.102025285,-0.57896745,-0.23392887,0.12034256,-0.76342416,-0.24087395,0.13090068,-0.912998,-0.24585591,0.1381643,-0.25049853,-0.18458003,0.19313736,-0.46185315,-0.23195973,0.22271755,-0.6068236,-0.23555887,0.24562585,-0.7256724,-0.23497476
YES,0.0,0.0,0.0,-0.23959328,0.053636685,-0.24495232,-0.5144572,-0.100697815,-0.36530608,-0.6753013,-0.3211875,-0.44439042,-0.73785734,-0.5425534,-0.50037986,-0.5514952,-0.786624,-0.27472183,-0.6894471,-0.6022638,-0.4939601,-0.6371932,-0.49017462,-0.62637275,-0.5770413,-0.5685991,-0.7001255,-0.32393318,-0.94607997,-0.23991297,-0.42657036,-0.5770708,-0.4388981,-0.38510808,-0.3471445,-0.49311775,-0.34122542,-0.38021058,-0.5015302,-0.08169161,-0.9445915,-0.23571268,-0.15027365,-0.48656198,-0.42928508,-0.11540096,-0.26701644,-0.39111975,-0.07346522,-0.2954828,-0.3329071,0.13860723,-0.85616046,-0.25699174,0.081407584,-0.4739593,-0.39981487,0.08983043,-0.27549794,-0.37388757,0.1268569,-0.26295897,-0.31908813
YES,0.0,0.0,0.0,-0.22368726,0.042684454,-0.18515976,-0.47766227,-0.01999617,-0.30320773,-0.6586521,-0.087994926,-0.3995704,-0.783869,-0.1981175,-0.46833327,-0.55228734,-0.7941218,-0.18831515,-0.649547,-0.7124925,-0.4019208,-0.6222563,-0.41359967,-0.5358424,-0.59283334,-0.22916543,-0.6019391,-0.34373534,-0.9390666,-0.1862592,-0.40793836,-0.6712509,-0.38879475,-0.37583846,-0.3309112,-0.45468357,-0.34843618,-0.2181574,-0.46051666,-0.11489696,-0.92427546,-0.21412618,-0.13738966,-0.5350705,-0.38317582,-0.113732435,-0.26247904,-0.35731432,-0.09687943,-0.2279117,-0.30798015,0.10544957,-0.8221509,-0.26393497,0.100951776,-0.46828073,-0.37606242,0.10075421,-0.26768038,-0.35656154,0.10476294,-0.2520831,-0.31205624
YES,0.0,0.0,0.0,-0.24937178,0.033869766,-0.16629936,-0.50575256,-0.023769965,-0.27798814,-0.67699385,-0.095309414,-0.37103134,-0.76086056,-0.24624641,-0.43808058,-0.56187594,-0.82639366,-0.17316112,-0.6359882,-0.53865874,-0.36277765,-0.59103227,-0.28882006,-0.48871765,-0.5577296,-0.21204525,-0.5592708,-0.34954,-0.9369215,-0.17386462,-0.40304512,-0.50936055,-0.33636296,-0.3621139,-0.2619224,-0.39646858,-0.3381228,-0.23846288,-0.4172004,-0.123217285,-0.9127194,-0.19972645,-0.14927624,-0.42158535,-0.34206045,-0.119483694,-0.21221459,-0.32162637,-0.10958852,-0.23131016,-0.28845352,0.0910238,-0.8100001,-0.24668995,0.07498539,-0.39389107,-0.34416935,0.083957165,-0.22751376,-0.33149177,0.08749272,-0.24789941,-0.2983473
YES,0.0,0.0,0.0,-0.25928766,0.026434813,-0.16131774,-0.51995796,-0.03488186,-0.27260852,-0.68545306,-0.11473995,-0.36559063,-0.71442676,-0.27126494,-0.43317816,-0.562247,-0.8269694,-0.16455211,-0.6125244,-0.46895275,-0.33303356,-0.5549354,-0.26120615,-0.44377834,-0.51920336,-0.25309956,-0.5097577,-0.3500541,-0.9285895,-0.1657649,-0.39001164,-0.49280965,-0.31135076,-0.3521047,-0.28467822,-0.36302325,-0.33352724,-0.2923203,-0.3824899,-0.12341219,-0.9066967,-0.19031973,-0.15203643,-0.43272316,-0.326489,-0.126632,-0.25413063,-0.30779648,-0.11891508,-0.30151802,-0.27700117,0.089029476,-0.8126764,-0.23457567,0.0653024,-0.41815662,-0.3259993,0.06646445,-0.26937255,-0.31476456,0.06492868,-0.30297273,-0.284905
YES,0.0,0.0,0.0,-0.2552818,0.040047333,-0.18260156,-0.5184303,-0.009980833,-0.30729944,-0.6930802,-0.079613715,-0.40727296,-0.7193711,-0.2537781,-0.47616044,-0.5749306,-0.81820214,-0.19047004,-0.6148875,-0.38864437,-0.3833425,-0.5371032,-0.1906447,-0.50615937,-0.49117726,-0.25159967,-0.5801471,-0.36533654,-0.9215578,-0.18362187,-0.39956614,-0.44856447,-0.3571593,-0.35000068,-0.24447903,-0.40842035,-0.3311197,-0.29390815,-0.42348364,-0.14218841,-0.9019886,-0.20349343,-0.16419767,-0.38581654,-0.3605509,-0.13590296,-0.20921935,-0.33319706,-0.13829724,-0.283905,-0.2931267,0.06248489,-0.8100258,-0.24567418,0.047395684,-0.3782733,-0.35258296,0.055394117,-0.23916253,-0.34619787,0.048372634,-0.29936004,-0.31745198
